iteration,mean_wait,max_wait,min_wait,rate,type
0,45.925635732004366,236.57644158100038,3.520592229957856,2.341666666666667,candidate
1,93.55836229375507,439.10308582453536,3.5459415914801866,2.605,candidate
1,73.09618434915966,337.0213867538073,3.538024610918228,2.5658333333333334,candidate
1,71.71043769782787,330.70033807599884,3.5068371961731373,2.5075,candidate
1,70.18193140656237,327.962100293174,3.5268666642814424,2.4716666666666667,candidate
1,59.84895744365107,326.2737987751643,3.54105295185866,2.4725,candidate
2,66.50493021802764,310.1565299997219,3.5431859008740503,2.546666666666667,candidate
2,63.249760913583046,278.4184203690502,3.536942614267957,2.4341666666666666,candidate
2,71.47470222990842,345.50635320927404,3.514482585920632,2.545,candidate
2,68.12728464839886,318.5601400204996,3.532367080391168,2.5091666666666668,candidate
2,74.86209509242428,368.52347271918643,3.5194295261876505,2.58,candidate
2,80.32631841841255,376.80616809716685,3.5113491768247513,2.5658333333333334,candidate
2,78.32431235443946,384.9492480009221,3.5085113663267293,2.5975,candidate
3,61.39461171305012,329.409053793825,3.5088953368460807,2.4941666666666666,candidate
3,70.09112913517899,313.2017912464735,3.5352686778160773,2.4966666666666666,candidate
3,63.19783505930791,322.9239360855986,3.512691747219378,2.5,candidate
4,57.55621786138442,292.66628999766954,3.506080765643077,2.4675,candidate
4,57.876374056674585,279.2659767411901,3.5316409030342584,2.4066666666666667,candidate
5,39.80139455262169,189.3895771658681,3.512027100360001,2.2808333333333333,candidate
5,30.13224505829278,152.3698322478822,3.555536530874633,2.2508333333333335,candidate
6,42.60101491330972,220.5019923398936,3.5252734059354225,2.3208333333333333,candidate
7,40.896786582150554,239.14211687987245,3.5126366430631606,2.3366666666666664,candidate
8,34.487474436632866,150.55673742568297,3.552026014062136,2.2333333333333334,candidate
8,20.361861243442593,85.1969473931199,3.5134416374551165,2.1566666666666667,candidate
9,39.02226641622943,194.3015117843379,3.5121470114447675,2.2716666666666665,candidate
9,31.527374130074616,196.65435440863666,3.505743267384787,2.24,candidate
10,90.58064397222732,418.4819256997339,3.5189289269292203,2.65,candidate
10,112.20861574360315,489.53037436048317,3.5358518585362617,2.6566666666666667,candidate
10,93.4804533430551,405.1498497221214,3.5886409986035233,2.7216666666666667,candidate
10,94.09654521105335,418.2033508187378,3.5405594977135024,2.6325,candidate
10,94.14533970487568,426.0999199859589,3.590029258668949,2.6658333333333335,candidate
10,105.42982869643738,463.96198848442555,3.603992219608699,2.720833333333333,candidate
10,81.10913841922473,387.3269828864263,3.5242233600286275,2.6333333333333333,candidate
10,88.13683964031469,376.40492999186563,3.5150986465191636,2.635,candidate
10,72.12705652175231,325.26615562981533,3.5471998088642067,2.5325,candidate
10,120.74203912985489,507.4100891461039,3.55894804425634,2.7225,candidate
